survived,pclass,age,sibsp,parch,fare,adult_male,embark_town,alive,alone,sex_male,embarked_q,embarked_s,class_Second,class_Third,who_man,who_woman
0,3,-0.5576825254595196,0.47587560314134286,-0.5007544611783037,-0.8462180002516918,True,southampton,no,False,1,0,1,0,1,1,0
1,1,0.6541566514146058,0.47587560314134286,-0.5007544611783037,1.9550924255913968,False,cherbourg,yes,False,0,0,0,0,0,0,1
1,3,-0.25472273124098826,-0.5345451980491797,-0.5007544611783037,-0.8166882940293968,False,southampton,yes,True,0,0,1,0,1,0,1
1,1,0.42693680575070725,0.47587560314134286,-0.5007544611783037,1.1596146372182752,False,southampton,yes,False,0,0,1,0,0,0,1
0,3,0.42693680575070725,-0.5345451980491797,-0.5007544611783037,-0.811219829914157,True,southampton,no,True,1,0,1,0,1,1,0
0,3,-0.10324283413172257,-0.5345451980491797,-0.5007544611783037,-0.7933576387281377,True,queenstown,no,True,1,1,0,0,1,1,0
0,1,1.8659958282887312,-0.5345451980491797,-0.5007544611783037,1.1054768424774006,True,southampton,no,True,1,0,1,0,0,1,0
0,3,-2.0724814965521765,2.496717205522388,0.6896894265922036,-0.24140586910616751,False,southampton,no,False,1,0,1,0,1,0,0
1,3,-0.1789827826863554,-0.5345451980491797,1.8801333143627108,-0.6763325066620054,False,southampton,yes,False,0,0,1,0,1,0,1
1,2,-1.1636021138965822,0.47587560314134286,-0.5007544611783037,0.15213980679682762,False,cherbourg,yes,False,0,0,0,1,0,0,0
1,3,-1.9210015994429106,0.47587560314134286,0.6896894265922036,-0.4328021131395613,False,southampton,yes,False,0,0,1,0,1,0,0
1,1,2.1689556225072626,-0.5345451980491797,-0.5007544611783037,-0.001887140858663212,False,southampton,yes,True,0,0,1,0,0,0,1
0,3,-0.7091624225687853,-0.5345451980491797,-0.5007544611783037,-0.811219829914157,True,southampton,no,True,1,0,1,0,1,1,0
0,3,0.7298965999692386,0.47587560314134286,5.451464977674232,0.204820802697402,True,southampton,no,False,1,0,1,0,1,1,0
0,3,-1.1636021138965822,-0.5345451980491797,-0.5007544611783037,-0.8197856321042687,False,southampton,no,True,0,0,1,0,1,0,0
1,2,1.941735776843364,-0.5345451980491797,-0.5007544611783037,-0.46342551218490424,False,southampton,yes,True,0,0,1,1,0,0,1
0,3,-2.0724814965521765,3.50713800671291,0.6896894265922036,0.1107632199152771,False,queenstown,no,False,1,1,0,0,1,0,0
1,2,-0.10324283413172257,-0.5345451980491797,-0.5007544611783037,-0.59466865095066,True,southampton,yes,True,1,0,1,1,0,1,0
0,3,0.12397701153217593,0.47587560314134286,-0.5007544611783037,-0.3759300863410671,False,southampton,no,False,0,0,1,0,1,0,1
1,3,-0.10324283413172257,-0.5345451980491797,-0.5007544611783037,-0.8473116930747399,False,cherbourg,yes,True,0,0,0,0,1,0,1
0,2,0.42693680575070725,-0.5345451980491797,-0.5007544611783037,-0.025948382965718463,True,southampton,no,True,1,0,1,1,0,1,0
1,2,0.35119685719607446,-0.5345451980491797,-0.5007544611783037,-0.59466865095066,True,southampton,yes,True,1,0,1,1,0,1,0
